sigma,epsilon,T
184.986359,0.472534508,509.267242
-2.85143423,0.0973394662,321.669739
66.4632568,0.305101007,425.550507
-0.51019901,0.116783358,331.391693
167.790741,0.452010393,499.005188
18.6819592,0.197319463,371.659729
9.26243877,0.165273055,355.636536
131.363449,0.405321062,475.660522
-1.89676344,0.106221244,326.110626
-3.81467795,0.0855771154,315.788544
156.819962,0.438447684,492.223846
-2.16040063,0.103940785,324.970398
-0.475539505,0.117023401,331.511688
232.664246,0.525585115,535.792542
177.760483,0.464012802,505.006409
-0.353135198,0.117863573,331.931793
69.7479248,0.310982198,428.491089
115.554626,0.383356661,464.678345
43.3180161,0.259491891,402.745941
26.5362759,0.219523907,382.761963
146.909668,0.425845176,485.922577
163.773819,0.447089404,496.544708
220.923401,0.512982607,529.491272
67.3948517,0.306781352,426.390686
6.86352873,0.155551106,350.775543
152.822861,0.433406681,489.703339
194.634628,0.483696729,514.848389
-4.33637619,0.0426085219,294.30426
40.6936302,0.253730744,399.865387
-3.26175189,0.0262852572,286.142639
111.22113,0.377115428,461.557709
71.9979553,0.314942986,430.471497
114.799538,0.382276446,464.138214
84.434639,0.335947186,440.973602
9.54232502,0.16635327,356.176636
36.0604134,0.243168637,394.58432
99.6712189,0.359952003,452.975983
41.9426308,0.256491303,401.245636
140.821701,0.417923599,481.961792
232.438232,0.525345087,535.672546
-4.62463093,0.0516103208,298.805176
-3.5381403,0.0894178823,317.708954
176.350067,0.462332457,504.166229
4.47900915,0.14486897,345.434479
86.576828,0.339427888,442.713928
5.86713314,0.151230246,348.615112
28.1882324,0.223844767,384.922394
83.6280823,0.334626913,440.313477
197.474442,0.486937374,516.468689
138.362839,0.414682925,480.341461
153.485992,0.434246838,490.123413
69.274559,0.31014204,428.071014
204.274994,0.494618922,520.309448
18.2880001,0.196119219,371.059601
0.904378653,0.125905186,335.952576
130.831451,0.404600918,475.300446
109.655418,0.374834955,460.41748
61.5026245,0.295979202,420.989594
76.8711395,0.323344678,434.672333
-4.67883253,0.0550910197,300.545502
-4.67084074,0.0642128438,305.106415
-4.53779554,0.0705741122,308.287048
187.766113,0.475775152,510.887573
143.944229,0.422004402,484.002197
58.6427155,0.290578127,418.289062
79.64505,0.328025609,437.012817
22.7094917,0.209081814,377.540894
9.69896507,0.166953385,356.476685
154.150345,0.435087025,490.543518
0.00597220985,0.120264053,333.132019
51.8962212,0.277375489,411.687744
60.5429077,0.294178843,420.089417
39.7805595,0.251690328,398.845154
5.65157938,0.15027006,348.13504
118.851067,0.388037622,467.018799
0.58997488,0.123984799,334.992401
242.814758,0.536267281,541.133606
7.00532579,0.156151235,351.075623
-3.4249146,0.0908581689,318.429077
87.8432465,0.341468304,443.734161
212.911621,0.504220843,525.110413
81.6624069,0.331386268,438.693146
64.0931091,0.300780147,423.390076
90.9298019,0.346389264,446.194641
6.83526897,0.155431092,350.715546
116.564697,0.384796947,465.398468
115.8909,0.383836776,464.918396
135.023315,0.410242051,478.121033
-4.38230133,0.0436887369,294.84436
46.2948189,0.265853167,405.926575
43.2073059,0.259251863,402.625916
1.77156126,0.130946189,338.473083
123.394142,0.394398868,470.199432
5.46472359,0.149429888,347.714935
158.642563,0.440728158,493.364075
222.917984,0.515143037,530.571533
55.5329552,0.284576923,415.288452
19.8018608,0.200680137,373.340057
31.1264458,0.231286258,388.643127
-3.17611456,0.0253250655,285.662537
125.040474,0.396679342,471.339661
-4.67324495,0.0546109229,300.30545
175.646637,0.4614923,503.746155
80.6510315,0.329705954,437.852966
48.7705421,0.271014214,408.507111
163.286774,0.446489304,496.244659
119.361725,0.388757765,467.378876
70.2905884,0.311942399,428.971191
7.90296173,0.159871981,352.935974
80.2911377,0.329105824,437.552917
159.894745,0.442288458,494.144226
3.1149838,0.138147622,342.073822
-2.89749241,0.0968593732,321.429688
-1.013358,0.113182634,329.591309
13.8442192,0.181836367,363.918182
28.4208241,0.224444896,385.222443
7.03378487,0.156271249,351.13562
-4.69466829,0.0616923384,303.846161
10.3657904,0.169473901,357.736938
217.725754,0.509501874,527.750977
190.979248,0.479495913,512.747925
221.698181,0.513822794,529.911377
61.2460747,0.295499086,420.749542
115.72271,0.383596718,464.79837
208.466537,0.499299854,522.649902
227.825272,0.520424068,533.212036
15.8790674,0.188557714,367.27887
56.5822258,0.286617309,416.308655
213.129471,0.504460871,525.230469
34.0813446,0.238487691,392.243835
-3.19342804,0.0936187208,319.809357
101.49231,0.362712532,454.356262
-3.60179257,0.0885777175,317.288849
127.921989,0.40064013,473.320068
-4.64166021,0.0661332235,306.06662
22.0735016,0.207281455,376.640717
36.3174515,0.243768752,394.884369
109.162956,0.374114811,460.057404
100.698799,0.361512303,453.756165
13.1419172,0.179435894,362.717957
-0.0192735642,0.000120024008,273.059998
9.79334259,0.167313457,356.656738
49.9992447,0.273534715,409.767365
3.39835191,0.139587924,342.793945
-1.38171101,0.00936187245,277.680939
166.512604,0.450450093,498.225037
112.796318,0.379395872,462.697937
104.451424,0.367153436,456.576721
-4.2212472,0.078615725,312.307861
-3.70557427,0.0318063609,288.903168
22.666872,0.2089618,377.480896
142.379318,0.419963986,482.981995
25.4125938,0.216523305,381.261658
49.4710846,0.2724545,409.227234
92.2229385,0.34842968,447.214844
214.87558,0.506381273,526.190613
113.545761,0.380476087,463.238037
35.9065514,0.242808565,394.404266
188.800095,0.476975381,511.487701
0.209393963,0.121584319,333.792145
157.298721,0.439047813,492.523895
-2.16695476,0.0156031204,280.801575
74.4175339,0.319143832,432.571899
48.6541939,0.270774156,408.387085
72.6857834,0.316143215,431.071625
65.6691437,0.303660721,424.830353
-0.965607882,0.00636127219,276.180634
135.832428,0.411322266,478.661133
18.1313019,0.195639133,370.81955
11.2772932,0.17283456,359.417297
86.6511078,0.339547902,442.773956
52.0157661,0.277615517,411.80777
5.25318146,0.148469687,347.234833
169.864136,0.454530895,500.265442
31.4655514,0.23212643,389.063202
31.2231808,0.2315263,388.763153
45.274559,0.263692737,404.846375
-3.66367722,0.0877375454,316.868774
31.1747971,0.231406286,388.703156
45.3309898,0.263812751,404.906372
88.967186,0.343268663,444.634338
-1.11021757,0.112462491,329.231232
30.2613144,0.229125828,387.562927
2.3386538,0.13406682,340.033417
7.63908052,0.158791766,352.395874
153.106903,0.433766752,489.883362
27.8638973,0.223004594,384.502289
237.887924,0.531106234,538.553101
80.5069962,0.329465896,437.732941
2.69909,0.135987192,340.993591
0.884470046,0.125785157,335.892578
205.131866,0.495579123,520.789551
57.6397934,0.288657725,417.328857
94.9870529,0.35275054,449.375275
208.790451,0.499659926,522.829956
153.67569,0.434486896,490.243439
-4.69539213,0.0615723133,303.786163
-1.86827075,0.106461294,326.230652
2.18370509,0.133226648,339.613312
-4.69109058,0.0564112812,301.205627
78.5731964,0.326225251,436.11261
-4.08144331,0.0812562481,313.628113
-1.36554933,0.00924184825,277.620911
50.058075,0.273654729,409.827362
151.972046,0.432326466,489.163239
214.547729,0.506021202,526.01062
67.7288971,0.307381481,426.690735
63.6365013,0.29993999,422.970001
2.16170597,0.133106619,339.553314
16.5922661,0.190838173,368.419098
-4.69879484,0.0577315465,301.865784
76.0260773,0.321904391,433.952179
149.994675,0.429805964,487.902985
188.282791,0.476375282,511.187653
2.88257337,0.136947393,341.473694
30.6445961,0.230086014,388.042999
4.70808792,0.145949185,345.974609
-1.14222419,0.112222448,329.111237
118.596092,0.38767755,466.838776
100.065903,0.360552102,453.276062
176.853241,0.462932587,504.466278
-3.86483073,0.034086816,290.043396
3.51786137,0.140188038,343.094025
22.5392056,0.208601713,377.300873
15.7675104,0.188197643,367.098816
120.728035,0.390678138,468.339081
158.546417,0.440608114,493.304047
237.431763,0.530626118,538.313049
90.2483673,0.345309049,445.654541
230.408264,0.523184657,534.592346
101.571808,0.362832576,454.41629
-3.2085228,0.0256851371,285.84256
50.6479759,0.274854958,410.42749
108.017563,0.372434497,459.217255
43.8176765,0.260572106,403.286072
13.7380514,0.181476295,363.738159
57.827282,0.289017797,417.508911
89.8707352,0.344708949,445.354462
-2.77186561,0.0211242251,283.562103
78.1461868,0.325505108,435.752563
82.7519836,0.333186626,439.593323
-3.79847884,0.0858171657,315.908569
224.80867,0.517183423,531.591736
-4.40647507,0.0442888588,295.14444
173.543503,0.458971798,502.485901
92.6047516,0.349029809,447.514893
11.0798197,0.172114417,359.05722
2.11781001,0.132866576,339.433289
8.43874836,0.162032411,354.016205
212.476227,0.503740728,524.870361
-3.51962948,0.0896579325,317.828979
49.8229294,0.273174644,409.587311
169.765167,0.454410881,500.205444
1.14596558,0.127345473,336.672729
69.4772644,0.310502112,428.251038
-4.69970703,0.057971593,301.985809
132.430191,0.406761348,476.380676
60.1608162,0.2934587,419.72934
107.365372,0.371474296,458.737152
15.582222,0.187597513,366.798767
11.4427481,0.17343469,359.717346
67.328125,0.306661338,426.330658
-2.69780493,0.0988997817,322.44989
107.691254,0.371954381,458.977203
9.169734,0.164912984,355.456482
4.42847252,0.144628927,345.314453
0.134937569,0.121104218,333.552124
9.85642433,0.167553514,356.776764
181.002136,0.467853576,506.926788
6.80704212,0.155311063,350.655518
-4.68920088,0.0561712347,301.085632
184.06366,0.471454293,508.727142
-1.06776667,0.00708141644,276.54071
50.3526611,0.274254858,410.127411
43.096714,0.259011805,402.50589
36.2145462,0.243528709,394.764343
122.273071,0.392838567,469.419281
110.313515,0.375795156,460.897583
-3.42550206,0.0282056406,287.102814
81.3005829,0.330786169,438.393066
29.3588505,0.226845369,386.422699
84.8759689,0.336667329,441.333679
13.6321745,0.181116223,363.558105
92.3755798,0.348669738,447.334869
171.948334,0.457051396,501.525696
113.629166,0.380596131,463.298065
224.363205,0.516703367,531.351685
91.0815353,0.346629322,446.314667
113.295715,0.380116016,463.058014
210.088211,0.501100242,523.55011
-4.31496859,0.0421284251,294.064209
157.778107,0.439647943,492.823975
223.029022,0.515263081,530.631531
129.064804,0.402200431,474.10022
54.0050163,0.281576306,413.788147
42.3807411,0.257451504,401.725739
151.217468,0.431366265,488.683136
154.720764,0.435807168,490.903595
181.714554,0.468693733,507.346863
4.45372391,0.144748956,345.374481
41.7242851,0.256011188,401.005615
10.2057142,0.168873772,357.43689
-4.19249868,0.0396079198,292.803955
-0.524306417,0.00336067216,274.680328
12.1804018,0.17607522,361.037598
212.802734,0.5041008,525.050415
112.380882,0.378795773,462.397888
8.68030453,0.162992597,354.496307
64.8134384,0.30210042,424.050201
170.2603,0.45501101,500.505493
185.705353,0.473374665,509.687347
167.495407,0.451650321,498.825165
101.810463,0.363192648,454.596313
98.7266769,0.358511716,452.255859
16.1030426,0.189277858,367.638916
12.1126938,0.175835162,360.917572
