,Formula,A,B,energy_diff,min_struc_type,Z_A,r_s_A,r_p_A,r_d_A,period_A,EA_A,IP_A,E_HOMO_A,E_LUMO_A,Z_B,r_s_B,r_p_B,r_d_B,period_B,EA_B,IP_B,E_HOMO_B,E_LUMO_B
20,RbF,Rb,F,-0.135595699,RS,37,2.24000001,3.200000048,1.960000038,5,-0.590399981,-4.288899899,-2.359999895,-0.704999983,9,0.409999996,0.370000005,1.429999948,2,-4.273499966,-19.40430069,-11.29399967,1.251000047
21,AgI,Ag,I,0.036925443,ZB,47,1.320000052,1.879999995,2.970000029,5,-1.666599989,-8.058099747,-4.710000038,-0.479000002,53,0.899999976,1.070000052,1.720000029,5,-3.513499975,-11.25710011,-7.236000061,0.213
22,CsI,Cs,I,-0.162387486,RS,55,2.460000038,3.160000086,1.970000029,6,-0.569599986,-4.006199837,-2.220000029,-0.547999978,53,0.899999976,1.070000052,1.720000029,5,-3.513499975,-11.25710011,-7.236000061,0.213
23,CuI,Cu,I,0.204674661,ZB,29,1.200000048,1.679999948,2.579999924,4,-1.638499975,-8.388799667,-4.855999947,-0.640999973,53,0.899999976,1.070000052,1.720000029,5,-3.513499975,-11.25710011,-7.236000061,0.213
24,KI,K,I,-0.167039137,RS,19,2.130000114,2.440000057,1.789999962,4,-0.621299982,-4.433199883,-2.426000118,-0.697000027,53,0.899999976,1.070000052,1.720000029,5,-3.513499975,-11.25710011,-7.236000061,0.213
25,LiI,Li,I,-0.021660944,RS,3,1.649999976,2.0,6.929999828,2,-0.698099971,-5.329100132,-2.874000072,-0.977999985,53,0.899999976,1.070000052,1.720000029,5,-3.513499975,-11.25710011,-7.236000061,0.213
26,NaI,Na,I,-0.114838173,RS,11,1.710000038,2.599999905,6.570000172,3,-0.715699971,-5.223100185,-2.819000006,-0.717999995,53,0.899999976,1.070000052,1.720000029,5,-3.513499975,-11.25710011,-7.236000061,0.213
27,RbI,Rb,I,-0.167201453,RS,37,2.24000001,3.200000048,1.960000038,5,-0.590399981,-4.288899899,-2.359999895,-0.704999983,53,0.899999976,1.070000052,1.720000029,5,-3.513499975,-11.25710011,-7.236000061,0.213
28,AlAs,Al,As,0.213261894,ZB,13,1.090000033,1.389999986,1.940000057,3,-0.3125,-5.780499935,-2.78399992,0.694999993,33,0.850000024,1.039999962,2.019999981,4,-1.83920002,-9.261899948,-5.34100008,0.064000003
29,BAs,B,As,0.874978322,ZB,5,0.810000002,0.829999983,1.950000048,2,-0.1074,-8.18999958,-3.714999914,2.247999907,33,0.850000024,1.039999962,2.019999981,4,-1.83920002,-9.261899948,-5.34100008,0.064000003
30,GaAs,Ga,As,0.27427785,ZB,31,0.99000001,1.330000043,2.160000086,4,-0.108099997,-5.818200111,-2.732000113,0.129999995,33,0.850000024,1.039999962,2.019999981,4,-1.83920002,-9.261899948,-5.34100008,0.064000003
31,InAs,In,As,0.134047644,ZB,49,1.129999995,1.5,3.109999895,5,-0.256300002,-5.537399769,-2.697000027,0.368000001,33,0.850000024,1.039999962,2.019999981,4,-1.83920002,-9.261899948,-5.34100008,0.064000003
32,AlN,Al,N,0.072949101,ZB,13,1.090000033,1.389999986,1.940000057,3,-0.3125,-5.780499935,-2.78399992,0.694999993,7,0.540000021,0.50999999,1.539999962,2,-1.867499948,-13.58520031,-7.238999844,3.056999922
33,BN,B,N,1.712080436,ZB,5,0.810000002,0.829999983,1.950000048,2,-0.1074,-8.18999958,-3.714999914,2.247999907,7,0.540000021,0.50999999,1.539999962,2,-1.867499948,-13.58520031,-7.238999844,3.056999922
34,GaN,Ga,N,0.433445413,ZB,31,0.99000001,1.330000043,2.160000086,4,-0.108099997,-5.818200111,-2.732000113,0.129999995,7,0.540000021,0.50999999,1.539999962,2,-1.867499948,-13.58520031,-7.238999844,3.056999922
35,InN,In,N,0.153720251,ZB,49,1.129999995,1.5,3.109999895,5,-0.256300002,-5.537399769,-2.697000027,0.368000001,7,0.540000021,0.50999999,1.539999962,2,-1.867499948,-13.58520031,-7.238999844,3.056999922
36,AlP,Al,P,0.218958326,ZB,13,1.090000033,1.389999986,1.940000057,3,-0.3125,-5.780499935,-2.78399992,0.694999993,15,0.829999983,0.970000029,1.769999981,3,-1.919999957,-9.750599861,-5.596000195,0.182999998
37,BP,B,P,1.019225202,ZB,5,0.810000002,0.829999983,1.950000048,2,-0.1074,-8.18999958,-3.714999914,2.247999907,15,0.829999983,0.970000029,1.769999981,3,-1.919999957,-9.750599861,-5.596000195,0.182999998
38,GaP,Ga,P,0.348751878,ZB,31,0.99000001,1.330000043,2.160000086,4,-0.108099997,-5.818200111,-2.732000113,0.129999995,15,0.829999983,0.970000029,1.769999981,3,-1.919999957,-9.750599861,-5.596000195,0.182999998
39,InP,In,P,0.179193239,ZB,49,1.129999995,1.5,3.109999895,5,-0.256300002,-5.537399769,-2.697000027,0.368000001,15,0.829999983,0.970000029,1.769999981,3,-1.919999957,-9.750599861,-5.596000195,0.182999998
40,AlSb,Al,Sb,0.156868745,ZB,13,1.090000033,1.389999986,1.940000057,3,-0.3125,-5.780499935,-2.78399992,0.694999993,51,1.0,1.230000019,2.059999943,5,-1.846699953,-8.468299866,-4.991000175,0.104999997
41,BSb,B,Sb,0.580849085,ZB,5,0.810000002,0.829999983,1.950000048,2,-0.1074,-8.18999958,-3.714999914,2.247999907,51,1.0,1.230000019,2.059999943,5,-1.846699953,-8.468299866,-4.991000175,0.104999997
42,GaSb,Ga,Sb,0.154625302,ZB,31,0.99000001,1.330000043,2.160000086,4,-0.108099997,-5.818200111,-2.732000113,0.129999995,51,1.0,1.230000019,2.059999943,5,-1.846699953,-8.468299866,-4.991000175,0.104999997
43,InSb,In,Sb,0.078059944,ZB,49,1.129999995,1.5,3.109999895,5,-0.256300002,-5.537399769,-2.697000027,0.368000001,51,1.0,1.230000019,2.059999943,5,-1.846699953,-8.468299866,-4.991000175,0.104999997
44,BaO,Ba,O,-0.092998587,RS,56,2.150000095,2.630000114,1.350000024,6,0.277999997,-5.515699863,-3.345999956,-2.128999949,8,0.460000008,0.430000007,2.220000029,2,-3.005899906,-16.43320084,-9.19699955,2.540999889
45,BeO,Be,O,0.691837664,ZB,4,1.080000043,1.210000038,2.880000114,2,0.630500019,-9.459400177,-5.599999905,-2.09800005,8,0.460000008,0.430000007,2.220000029,2,-3.005899906,-16.43320084,-9.19699955,2.540999889
46,CaO,Ca,O,-0.265219044,RS,20,1.75999999,2.319999933,0.680000007,4,0.303900003,-6.427999973,-3.864000082,-2.132999897,8,0.460000008,0.430000007,2.220000029,2,-3.005899906,-16.43320084,-9.19699955,2.540999889
47,CdO,Cd,O,-0.084161281,RS,48,1.230000019,1.74000001,2.599999905,5,0.838699996,-9.581399918,-5.952000141,-1.309000015,8,0.460000008,0.430000007,2.220000029,2,-3.005899906,-16.43320084,-9.19699955,2.540999889
48,MgO,Mg,O,-0.232274762,RS,12,1.330000043,1.899999976,3.170000076,3,0.692499995,-8.037099838,-4.782000065,-1.35800004,8,0.460000008,0.430000007,2.220000029,2,-3.005899906,-16.43320084,-9.19699955,2.540999889
49,SrO,Sr,O,-0.22030665,RS,38,1.909999967,2.549999952,1.200000048,5,0.343100011,-6.031599998,-3.641000032,-1.378999949,8,0.460000008,0.430000007,2.220000029,2,-3.005899906,-16.43320084,-9.19699955,2.540999889
50,ZnO,Zn,O,0.10196814,ZB,30,1.100000024,1.549999952,2.25,4,1.08070004,-10.13549995,-6.217000008,-1.194000006,8,0.460000008,0.430000007,2.220000029,2,-3.005899906,-16.43320084,-9.19699955,2.540999889
51,BaS,Ba,S,-0.319762499,RS,56,2.150000095,2.630000114,1.350000024,6,0.277999997,-5.515699863,-3.345999956,-2.128999949,16,0.74000001,0.850000024,2.369999886,3,-2.844899893,-11.79510021,-7.105999947,0.64200002
52,BeS,Be,S,0.50632771,ZB,4,1.080000043,1.210000038,2.880000114,2,0.630500019,-9.459400177,-5.599999905,-2.09800005,16,0.74000001,0.850000024,2.369999886,3,-2.844899893,-11.79510021,-7.105999947,0.64200002
53,CaS,Ca,S,-0.369133206,RS,20,1.75999999,2.319999933,0.680000007,4,0.303900003,-6.427999973,-3.864000082,-2.132999897,16,0.74000001,0.850000024,2.369999886,3,-2.844899893,-11.79510021,-7.105999947,0.64200002
54,CdS,Cd,S,0.072672906,ZB,48,1.230000019,1.74000001,2.599999905,5,0.838699996,-9.581399918,-5.952000141,-1.309000015,16,0.74000001,0.850000024,2.369999886,3,-2.844899893,-11.79510021,-7.105999947,0.64200002
55,MgS,Mg,S,-0.086699559,RS,12,1.330000043,1.899999976,3.170000076,3,0.692499995,-8.037099838,-4.782000065,-1.35800004,16,0.74000001,0.850000024,2.369999886,3,-2.844899893,-11.79510021,-7.105999947,0.64200002
56,SrS,Sr,S,-0.368434281,RS,38,1.909999967,2.549999952,1.200000048,5,0.343100011,-6.031599998,-3.641000032,-1.378999949,16,0.74000001,0.850000024,2.369999886,3,-2.844899893,-11.79510021,-7.105999947,0.64200002
57,ZnS,Zn,S,0.275813389,ZB,30,1.100000024,1.549999952,2.25,4,1.08070004,-10.13549995,-6.217000008,-1.194000006,16,0.74000001,0.850000024,2.369999886,3,-2.844899893,-11.79510021,-7.105999947,0.64200002
58,BaSe,Ba,Se,-0.343445249,RS,56,2.150000095,2.630000114,1.350000024,6,0.277999997,-5.515699863,-3.345999956,-2.128999949,34,0.800000012,0.949999988,2.180000067,4,-2.750999928,-10.9460001,-6.653999805,1.315999985
59,BeSe,Be,Se,0.494940425,ZB,4,1.080000043,1.210000038,2.880000114,2,0.630500019,-9.459400177,-5.599999905,-2.09800005,34,0.800000012,0.949999988,2.180000067,4,-2.750999928,-10.9460001,-6.653999805,1.315999985
60,CaSe,Ca,Se,-0.360797814,RS,20,1.75999999,2.319999933,0.680000007,4,0.303900003,-6.427999973,-3.864000082,-2.132999897,34,0.800000012,0.949999988,2.180000067,4,-2.750999928,-10.9460001,-6.653999805,1.315999985
61,CdSe,Cd,Se,0.083572018,ZB,48,1.230000019,1.74000001,2.599999905,5,0.838699996,-9.581399918,-5.952000141,-1.309000015,34,0.800000012,0.949999988,2.180000067,4,-2.750999928,-10.9460001,-6.653999805,1.315999985
62,MgSe,Mg,Se,-0.055301701,RS,12,1.330000043,1.899999976,3.170000076,3,0.692499995,-8.037099838,-4.782000065,-1.35800004,34,0.800000012,0.949999988,2.180000067,4,-2.750999928,-10.9460001,-6.653999805,1.315999985
63,SrSe,Sr,Se,-0.374511128,RS,38,1.909999967,2.549999952,1.200000048,5,0.343100011,-6.031599998,-3.641000032,-1.378999949,34,0.800000012,0.949999988,2.180000067,4,-2.750999928,-10.9460001,-6.653999805,1.315999985
64,ZnSe,Zn,Se,0.263136964,ZB,30,1.100000024,1.549999952,2.25,4,1.08070004,-10.13549995,-6.217000008,-1.194000006,34,0.800000012,0.949999988,2.180000067,4,-2.750999928,-10.9460001,-6.653999805,1.315999985
65,BaTe,Ba,Te,-0.375386791,RS,56,2.150000095,2.630000114,1.350000024,6,0.277999997,-5.515699863,-3.345999956,-2.128999949,52,0.939999998,1.139999986,1.830000043,5,-2.665999889,-9.866700172,-6.109000206,0.098999999
66,BeTe,Be,Te,0.468586062,ZB,4,1.080000043,1.210000038,2.880000114,2,0.630500019,-9.459400177,-5.599999905,-2.09800005,52,0.939999998,1.139999986,1.830000043,5,-2.665999889,-9.866700172,-6.109000206,0.098999999
67,CaTe,Ca,Te,-0.350456263,RS,20,1.75999999,2.319999933,0.680000007,4,0.303900003,-6.427999973,-3.864000082,-2.132999897,52,0.939999998,1.139999986,1.830000043,5,-2.665999889,-9.866700172,-6.109000206,0.098999999
68,CdTe,Cd,Te,0.114539528,ZB,48,1.230000019,1.74000001,2.599999905,5,0.838699996,-9.581399918,-5.952000141,-1.309000015,52,0.939999998,1.139999986,1.830000043,5,-2.665999889,-9.866700172,-6.109000206,0.098999999
69,MgTe,Mg,Te,-0.004591241,RS,12,1.330000043,1.899999976,3.170000076,3,0.692499995,-8.037099838,-4.782000065,-1.35800004,52,0.939999998,1.139999986,1.830000043,5,-2.665999889,-9.866700172,-6.109000206,0.098999999
70,SrTe,Sr,Te,-0.379294754,RS,38,1.909999967,2.549999952,1.200000048,5,0.343100011,-6.031599998,-3.641000032,-1.378999949,52,0.939999998,1.139999986,1.830000043,5,-2.665999889,-9.866700172,-6.109000206,0.098999999
71,ZnTe,Zn,Te,0.245001392,ZB,30,1.100000024,1.549999952,2.25,4,1.08070004,-10.13549995,-6.217000008,-1.194000006,52,0.939999998,1.139999986,1.830000043,5,-2.665999889,-9.866700172,-6.109000206,0.098999999
72,C2,C,C,2.628604014,ZB,6,0.639999986,0.629999995,1.629999995,2,-0.872399986,-10.85169983,-5.415999889,1.991999984,6,0.639999986,0.629999995,1.629999995,2,-0.872399986,-10.85169983,-5.415999889,1.991999984
73,GeC,Ge,C,0.811443,ZB,32,0.920000017,1.159999967,2.369999886,4,-0.949000001,-7.566999912,-4.046000004,2.174999952,6,0.639999986,0.629999995,1.629999995,2,-0.872399986,-10.85169983,-5.415999889,1.991999984
74,SiC,Si,C,0.669023774,ZB,14,0.939999998,1.129999995,1.889999986,3,-0.992999971,-7.757699966,-4.163000107,0.439999998,6,0.639999986,0.629999995,1.629999995,2,-0.872399986,-10.85169983,-5.415999889,1.991999984
75,SnC,Sn,C,0.453538029,ZB,50,1.059999943,1.340000033,2.029999971,5,-1.039199948,-7.04279995,-3.865999937,0.008,6,0.639999986,0.629999995,1.629999995,2,-0.872399986,-10.85169983,-5.415999889,1.991999984
76,Ge2,Ge,Ge,0.20085255,ZB,32,0.920000017,1.159999967,2.369999886,4,-0.949000001,-7.566999912,-4.046000004,2.174999952,32,0.920000017,1.159999967,2.369999886,4,-0.949000001,-7.566999912,-4.046000004,2.174999952
77,SnGe,Sn,Ge,0.081663276,ZB,50,1.059999943,1.340000033,2.029999971,5,-1.039199948,-7.04279995,-3.865999937,0.008,32,0.920000017,1.159999967,2.369999886,4,-0.949000001,-7.566999912,-4.046000004,2.174999952
78,GeSi,Ge,Si,0.263210163,ZB,32,0.920000017,1.159999967,2.369999886,4,-0.949000001,-7.566999912,-4.046000004,2.174999952,14,0.939999998,1.129999995,1.889999986,3,-0.992999971,-7.757699966,-4.163000107,0.439999998
79,Si2,Si,Si,0.279165968,ZB,14,0.939999998,1.129999995,1.889999986,3,-0.992999971,-7.757699966,-4.163000107,0.439999998,14,0.939999998,1.129999995,1.889999986,3,-0.992999971,-7.757699966,-4.163000107,0.439999998
80,SnSi,Sn,Si,0.135108888,ZB,50,1.059999943,1.340000033,2.029999971,5,-1.039199948,-7.04279995,-3.865999937,0.008,14,0.939999998,1.129999995,1.889999986,3,-0.992999971,-7.757699966,-4.163000107,0.439999998
81,Sn2,Sn,Sn,0.01696385,ZB,50,1.059999943,1.340000033,2.029999971,5,-1.039199948,-7.04279995,-3.865999937,0.008,50,1.059999943,1.340000033,2.029999971,5,-1.039199948,-7.04279995,-3.865999937,0.008
